"DataCategoryGroupName","DataCategoryName","Id","ParentId"
"KB_General","password_policy_enforcer","02oQk000000OGTSIA4","ka0Qk0000005AbRIAU"
"KB_General","password_policy_enforcer","02oQk000000lDeYIAU","ka0Qk000000DTQnIAO"
"KB_General","privilege_secure","02oQk000000E0mXIAS","ka0Qk0000002ldxIAA"
"KB_General","privilege_secure","02oQk000000FA77IAG","ka0Qk0000002znNIAQ"
"KB_General","privilege_secure","02oQk000000mwuYIAQ","ka0Qk000000E5z7IAC"
"KB_General","activity_monitor","02oQk000000HOfRIAW","ka0Qk0000003s5VIAQ"
"KB_General","activity_monitor","02oQk000000acA1IAI","ka0Qk000000BXezIAG"
"KB_General","activity_monitor","02oQk000000eBb5IAE","ka0Qk000000CCrpIAG"
"KB_General","activity_monitor","02oQk000000gVH9IAM","ka0Qk000000CjarIAC"
"KB_General","enterprise_auditor","02oQk000000GHT8IAO","ka0Qk0000003VQfIAM"
"KB_General","enterprise_auditor","02oQk000000IUSfIAO","ka0Qk00000041aDIAQ"
"KB_General","enterprise_auditor","02oQk000000JCn3IAG","ka0Qk00000048ztIAA"
"KB_General","enterprise_auditor","02oQk000000LbUQIA0","ka0Qk0000004gezIAA"
"KB_General","enterprise_auditor","02oQk000000PRJZIA4","ka0Qk0000005WKDIA2"
"KB_General","enterprise_auditor","02oQk000000R2LvIAK","ka0Qk00000068yzIAA"
"KB_General","enterprise_auditor","02oQk000000RbmgIAC","ka0Qk0000006NUzIAM"
"KB_General","enterprise_auditor","02oQk000000SUJKIA4","ka0Qk0000006mzdIAA"
"KB_General","enterprise_auditor","02oQk000000WXaOIAW","ka0Qk0000009j17IAA"
"KB_General","enterprise_auditor","02oQk000000ZkETIA0","ka0Qk000000BPvxIAG"
"KB_General","enterprise_auditor","02oQk000000b0doIAA","ka0Qk000000BcefIAC"
"KB_General","enterprise_auditor","02oQk000000bAbYIAU","ka0Qk000000BdndIAC"
"KB_General","enterprise_auditor","02oQk000000bAekIAE","ka0Qk000000BdpFIAS"
"KB_General","enterprise_auditor","02oQk000000kCmAIAU","ka0Qk000000BmEDIA0"
"KB_General","enterprise_auditor","02oQk000000cpskIAA","ka0Qk000000Bq05IAC"
"KB_General","enterprise_auditor","02oQk000000d4zpIAA","ka0Qk000000BxBFIA0"
"KB_General","enterprise_auditor","02oQk000000dZ4MIAU","ka0Qk000000C7ovIAC"
"KB_General","enterprise_auditor","02oQk000000deQcIAI","ka0Qk000000C8jNIAS"
"KB_General","enterprise_auditor","02oQk000000eBb4IAE","ka0Qk000000CCrpIAG"
"KB_General","enterprise_auditor","02oQk000000eBhWIAU","ka0Qk000000CCv3IAG"
"KB_General","enterprise_auditor","02oQk000000f634IAA","ka0Qk000000CV01IAG"
"KB_General","enterprise_auditor","02oQk000000kCr0IAE","ka0Qk000000CW0vIAG"
"KB_General","enterprise_auditor","02oQk000000fn82IAA","ka0Qk000000CbVFIA0"
"KB_General","enterprise_auditor","02oQk000000gC3DIAU","ka0Qk000000CgOTIA0"
"KB_General","enterprise_auditor","02oQk000000gVH8IAM","ka0Qk000000CjarIAC"
"KB_General","enterprise_auditor","02oQk000000gq0eIAA","ka0Qk000000ClsnIAC"
"KB_General","enterprise_auditor","02oQk000000guqeIAA","ka0Qk000000CnEfIAK"
"KB_General","enterprise_auditor","02oQk000000jzDrIAI","ka0Qk000000DFfZIAW"
"KB_General","enterprise_auditor","02oQk000000lDt5IAE","ka0Qk000000DTIjIAO"
"KB_General","enterprise_auditor","02oQk000000lDrTIAU","ka0Qk000000DTSPIA4"
"KB_General","enterprise_auditor","02oQk000000lDuhIAE","ka0Qk000000DTU1IAO"
"KB_General","enterprise_auditor","02oQk000000lDwJIAU","ka0Qk000000DTVdIAO"
"KB_General","enterprise_auditor","02oQk000000lDxvIAE","ka0Qk000000DTXFIA4"
"KB_General","enterprise_auditor","02oQk000000lUsJIAU","ka0Qk000000DXPZIA4"
"KB_General","enterprise_auditor","02oQk000000laXvIAI","ka0Qk000000DYQTIA4"
"KB_General","enterprise_auditor","02oQk000000lgbiIAA","ka0Qk000000Dc97IAC"
"KB_General","enterprise_auditor","02oQk000000lljTIAQ","ka0Qk000000De9JIAS"
"KB_General","enterprise_auditor","02oQk000000mJI5IAM","ka0Qk000000Ds4DIAS"
"KB_General","enterprise_auditor","02oQk000000mJwRIAU","ka0Qk000000DsPBIA0"
"KB_General","enterprise_auditor","02oQk000000myBbIAI","ka0Qk000000E6OvIAK"
"KB_General","access_info_center","02oQk000000WXaNIAW","ka0Qk0000009j17IAA"
"KB_General","access_info_center","02oQk000000gq2EIAQ","ka0Qk000000CluPIAS"
"KB_General","access_info_center","02oQk000000lDt6IAE","ka0Qk000000DTIjIAO"
"KB_General","access_info_center","02oQk000000lDrUIAU","ka0Qk000000DTSPIA4"
"KB_General","access_info_center","02oQk000000lDuiIAE","ka0Qk000000DTU1IAO"
"KB_General","access_info_center","02oQk000000lDwKIAU","ka0Qk000000DTVdIAO"
"KB_General","access_info_center","02oQk000000lDxwIAE","ka0Qk000000DTXFIA4"
"KB_General","threat_manager","02oQk000000YoSDIA0","ka0Qk0000006ihWIAQ"
"KB_General","threat_manager","02oQk000000ZkT0IAK","ka0Qk000000BQ0nIAG"
"KB_General","threat_manager","02oQk000000aCKPIA2","ka0Qk000000BUHJIA4"
"KB_General","threat_prevention","02oQk000000aO2DIAU","ka0Qk000000ADKAIA4"
"KB_General","threat_prevention","02oQk000000Y525IAC","ka0Qk000000Aa0bIAC"
"KB_General","threat_prevention","02oQk000000kCnmIAE","ka0Qk000000C0qfIAC"
"KB_General","threat_prevention","02oQk000000fkgQIAQ","ka0Qk000000CX0DIAW"
"KB_General","recovery_ad","02oQk000000YkLNIA0","ka0Qk000000B981IAC"
"KB_General","recovery_ad","02oQk000000YoQbIAK","ka0Qk000000BCQrIAO"
"KB_General","change_tracker","02oQk000000CgGPIA0","ka0Qk0000002bLFIAY"
"KB_General","change_tracker","02oQk000000HOdpIAG","ka0Qk0000003s3tIAA"
"KB_General","change_tracker","02oQk000000aI9hIAE","ka0Qk0000005wZdIAI"
"KB_General","change_tracker","02oQk000000aIZVIA2","ka0Qk0000006ARJIA2"
"KB_General","privilege_secure_discovery","02oQk000000hLVpIAM","ka0Qk000000ChxFIAS"
"KB_General","groupid","02oQk000000WveJIAS","ka0Qk000000A3xVIAS"
"KB_General","groupid","02oQk000000iF51IAE","ka0Qk000000D0NBIA0"
"KB_General","groupid","02oQk000000iF8GIAU","ka0Qk000000D0OnIAK"
"KB_General","groupid","02oQk000000jDlvIAE","ka0Qk000000D8e5IAC"
"KB_General","groupid","02oQk000000jDp9IAE","ka0Qk000000D8fhIAC"
"KB_General","groupid","02oQk000000jE23IAE","ka0Qk000000D8hJIAS"
"KB_General","groupid","02oQk000000jWjlIAE","ka0Qk000000DAmLIAW"
"KB_General","groupid","02oQk000000lY6JIAU","ka0Qk000000DCD3IAO"
"KB_General","groupid","02oQk000000kFk3IAE","ka0Qk000000DHvtIAG"
"KB_General","groupid","02oQk000000kFnHIAU","ka0Qk000000DHxVIAW"
"KB_General","groupid","02oQk000000kFyaIAE","ka0Qk000000DHz7IAG"
"KB_General","groupid","02oQk000000kG1pIAE","ka0Qk000000DI0jIAG"
"KB_General","groupid","02oQk000000kswhIAA","ka0Qk000000DOe1IAG"
"KB_General","groupid","02oQk000000kszvIAA","ka0Qk000000DOfdIAG"
"KB_General","groupid","02oQk000000ktESIAY","ka0Qk000000DOhFIAW"
"KB_General","groupid","02oQk000000ktHhIAI","ka0Qk000000DOirIAG"
"KB_General","groupid","02oQk000000lUp5IAE","ka0Qk000000DXMLIA4"
"KB_General","groupid","02oQk000000lY4hIAE","ka0Qk000000DYGnIAO"
"KB_General","groupid","02oQk000000lpjrIAA","ka0Qk000000DfDRIA0"
"KB_General","endpoint_protector","02oQk000000YIqYIAW","ka0Qk000000B4l3IAC"
